# B8V spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3655.6      0.0001149832
 3655.7      0.0001149657
 3655.8      0.0001149481
 3655.9      0.0001149305
 3656.0      0.0001149130
 3656.1      0.0001148954
 3656.2      0.0001148779
 3656.3      0.0001148603
 3656.4      0.0001148428
 3656.5      0.0001148252
 3656.6      0.0001148076
 3656.7      0.0001147901
 3656.8      0.0001147725
 3656.9      0.0001147550
 3657.0      0.0001147374
 3657.1      0.0001147198
 3657.2      0.0001147022
 3657.3      0.0001146846
 3657.4      0.0001146670
 3657.5      0.0001146494
 3657.6      0.0001146318
 3657.7      0.0001146142
 3657.8      0.0001145966
 3657.9      0.0001145791
 3658.0      0.0001145615
 3658.1      0.0001145439
 3658.2      0.0001145264
 3658.3      0.0001145089
 3658.4      0.0001144914
 3658.5      0.0001144739
 3658.6      0.0001144564
 3658.7      0.0001144389
 3658.8      0.0001144214
 3658.9      0.0001144039
 3659.0      0.0001143863
 3659.1      0.0001143688
 3659.2      0.0001143513
 3659.3      0.0001143337
 3659.4      0.0001143162
 3659.5      0.0001142986
 3659.6      0.0001142810
 3659.7      0.0001142635
 3659.8      0.0001142459
 3659.9      0.0001142284
 3660.0      0.0001142108
 3660.1      0.0001141933
 3660.2      0.0001141757
 3660.3      0.0001141582
 3660.4      0.0001141407
 3660.5      0.0001141232
 3660.6      0.0001141056
 3660.7      0.0001140881
 3660.8      0.0001140706
 3660.9      0.0001140531
 3661.0      0.0001140356
 3661.1      0.0001140181
 3661.2      0.0001140007
 3661.3      0.0001139832
 3661.4      0.0001139657
 3661.5      0.0001139482
 3661.6      0.0001139307
 3661.7      0.0001139133
 3661.8      0.0001138958
 3661.9      0.0001138783
 3662.0      0.0001138608
 3662.1      0.0001138433
 3662.2      0.0001138258
 3662.3      0.0001138083
 3662.4      0.0001137908
 3662.5      0.0001137732
 3662.6      0.0001137557
 3662.7      0.0001137382
 3662.8      0.0001137207
 3662.9      0.0001137032
 3663.0      0.0001136856
 3663.1      0.0001136681
 3663.2      0.0001136506
 3663.3      0.0001136331
 3663.4      0.0001136156
 3663.5      0.0001135981
 3663.6      0.0001135806
 3663.7      0.0001135631
 3663.8      0.0001135457
 3663.9      0.0001135282
 3664.0      0.0001135107
 3664.1      0.0001134932
 3664.2      0.0001134758
 3664.3      0.0001134584
 3664.4      0.0001134410
 3664.5      0.0001134235
 3664.6      0.0001134061
 3664.7      0.0001133887
 3664.8      0.0001133712
 3664.9      0.0001133538
 3665.0      0.0001133363
 3665.1      0.0001133189
 3665.2      0.0001133014
 3665.3      0.0001132839
 3665.4      0.0001132665
 3665.5      0.0001132490
 3665.6      0.0001132315
 3665.7      0.0001132140
 3665.8      0.0001131965
 3665.9      0.0001131790
 3666.0      0.0001131615
 3666.1      0.0001131440
 3666.2      0.0001131265
 3666.3      0.0001131090
 3666.4      0.0001130916
 3666.5      0.0001130740
 3666.6      0.0001130565
 3666.7      0.0001130391
 3666.8      0.0001130216
 3666.9      0.0001130041
 3667.0      0.0001129866
 3667.1      0.0001129692
 3667.2      0.0001129517
 3667.3      0.0001129343
 3667.4      0.0001129169
 3667.5      0.0001128994
 3667.6      0.0001128819
 3667.7      0.0001128645
 3667.8      0.0001128471
 3667.9      0.0001128297
 3668.0      0.0001128122
 3668.1      0.0001127948
 3668.2      0.0001127773
 3668.3      0.0001127599
 3668.4      0.0001127424
 3668.5      0.0001127250
 3668.6      0.0001127075
 3668.7      0.0001126901
 3668.8      0.0001126726
 3668.9      0.0001126551
 3669.0      0.0001126377
 3669.1      0.0001126250
 3669.2      0.0001126130
 3669.3      0.0001126009
 3669.4      0.0001125883
 3669.5      0.0001125743
 3669.6      0.0001125584
 3669.7      0.0001125400
 3669.8      0.0001125184
 3669.9      0.0001124930
 3670.0      0.0001124631
 3670.1      0.0001124261
 3670.2      0.0001123848
 3670.3      0.0001123396
 3670.4      0.0001122912
 3670.5      0.0001122402
 3670.6      0.0001121873
 3670.7      0.0001121332
 3670.8      0.0001120784
 3670.9      0.0001120237
 3671.0      0.0001119695
 3671.1      0.0001119201
 3671.2      0.0001118708
 3671.3      0.0001118214
 3671.4      0.0001117721
 3671.5      0.0001117227
 3671.6      0.0001116734
 3671.7      0.0001116241
 3671.8      0.0001115747
 3671.9      0.0001115255
 3672.0      0.0001114761
 3672.1      0.0001114267
 3672.2      0.0001113775
 3672.3      0.0001113282
 3672.4      0.0001112790
 3672.5      0.0001112296
 3672.6      0.0001111803
 3672.7      0.0001111311
 3672.8      0.0001110818
 3672.9      0.0001110326
 3673.0      0.0001109833
