# QSO spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3680.7      0.0001084809
 3680.8      0.0001085100
 3680.9      0.0001085403
 3681.0      0.0001085716
 3681.1      0.0001086034
 3681.2      0.0001086354
 3681.3      0.0001086674
 3681.4      0.0001086989
 3681.5      0.0001087299
 3681.6      0.0001087599
 3681.7      0.0001087885
 3681.8      0.0001088156
 3681.9      0.0001088408
 3682.0      0.0001088637
 3682.1      0.0001088842
 3682.2      0.0001089017
 3682.3      0.0001089162
 3682.4      0.0001089272
 3682.5      0.0001089344
 3682.6      0.0001089353
 3682.7      0.0001089337
 3682.8      0.0001089295
 3682.9      0.0001089227
 3683.0      0.0001089134
 3683.1      0.0001089015
 3683.2      0.0001088872
 3683.3      0.0001088703
 3683.4      0.0001088510
 3683.5      0.0001088292
 3683.6      0.0001088050
 3683.7      0.0001087783
 3683.8      0.0001087492
 3683.9      0.0001087178
 3684.0      0.0001086838
 3684.1      0.0001086476
 3684.2      0.0001086090
 3684.3      0.0001085680
 3684.4      0.0001085248
 3684.5      0.0001084792
 3684.6      0.0001084313
 3684.7      0.0001083812
 3684.8      0.0001083287
 3684.9      0.0001082742
 3685.0      0.0001082172
 3685.1      0.0001081416
 3685.2      0.0001080614
 3685.3      0.0001079769
 3685.4      0.0001078891
 3685.5      0.0001077982
 3685.6      0.0001077050
 3685.7      0.0001076103
 3685.8      0.0001075143
 3685.9      0.0001074181
 3686.0      0.0001073218
 3686.1      0.0001072262
 3686.2      0.0001071322
 3686.3      0.0001070399
 3686.4      0.0001069504
 3686.5      0.0001068638
 3686.6      0.0001067810
 3686.7      0.0001067028
 3686.8      0.0001066293
 3686.9      0.0001065616
 3687.0      0.0001065000
 3687.1      0.0001064451
 3687.2      0.0001063977
 3687.3      0.0001063583
 3687.4      0.0001063275
 3687.5      0.0001063059
 3687.6      0.0001063125
 3687.7      0.0001063279
 3687.8      0.0001063517
 3687.9      0.0001063833
 3688.0      0.0001064223
 3688.1      0.0001064681
 3688.2      0.0001065200
 3688.3      0.0001065779
 3688.4      0.0001066408
 3688.5      0.0001067085
 3688.6      0.0001067805
 3688.7      0.0001068559
 3688.8      0.0001069346
 3688.9      0.0001070158
 3689.0      0.0001070992
 3689.1      0.0001071842
 3689.2      0.0001072700
 3689.3      0.0001073566
 3689.4      0.0001074429
 3689.5      0.0001075290
 3689.6      0.0001076139
 3689.7      0.0001076971
 3689.8      0.0001077784
 3689.9      0.0001078569
 3690.0      0.0001079324
 3690.1      0.0001079952
 3690.2      0.0001080574
 3690.3      0.0001081191
 3690.4      0.0001081800
 3690.5      0.0001082401
 3690.6      0.0001082992
 3690.7      0.0001083569
 3690.8      0.0001084134
 3690.9      0.0001084683
 3691.0      0.0001085216
 3691.1      0.0001085730
 3691.2      0.0001086224
 3691.3      0.0001086697
 3691.4      0.0001087146
 3691.5      0.0001087571
 3691.6      0.0001087970
 3691.7      0.0001088340
 3691.8      0.0001088682
 3691.9      0.0001088992
 3692.0      0.0001089270
 3692.1      0.0001089514
 3692.2      0.0001089722
 3692.3      0.0001089893
 3692.4      0.0001090025
 3692.5      0.0001090117
 3692.6      0.0001090062
 3692.7      0.0001089957
 3692.8      0.0001089804
 3692.9      0.0001089610
 3693.0      0.0001089377
 3693.1      0.0001089109
 3693.2      0.0001088812
 3693.3      0.0001088489
 3693.4      0.0001088145
 3693.5      0.0001087784
 3693.6      0.0001087409
 3693.7      0.0001087026
 3693.8      0.0001086638
 3693.9      0.0001086250
 3694.0      0.0001085865
 3694.1      0.0001085488
 3694.2      0.0001085124
 3694.3      0.0001084776
 3694.4      0.0001084449
 3694.5      0.0001084146
 3694.6      0.0001083873
 3694.7      0.0001083633
 3694.8      0.0001083430
 3694.9      0.0001083269
 3695.0      0.0001083154
 3695.1      0.0001083323
 3695.2      0.0001083538
 3695.3      0.0001083795
 3695.4      0.0001084089
 3695.5      0.0001084418
 3695.6      0.0001084775
 3695.7      0.0001085156
 3695.8      0.0001085559
 3695.9      0.0001085977
 3696.0      0.0001086407
 3696.1      0.0001086845
 3696.2      0.0001087286
 3696.3      0.0001087725
 3696.4      0.0001088159
 3696.5      0.0001088583
 3696.6      0.0001088993
 3696.7      0.0001089384
 3696.8      0.0001089753
 3696.9      0.0001090094
 3697.0      0.0001090404
 3697.1      0.0001090678
 3697.2      0.0001090912
 3697.3      0.0001091101
 3697.4      0.0001091242
 3697.5      0.0001091329
 3697.6      0.0001091141
 3697.7      0.0001090900
 3697.8      0.0001090609
 3697.9      0.0001090274
 3698.0      0.0001089897
 3698.1      0.0001089485
 3698.2      0.0001089043
 3698.3      0.0001088572
 3698.4      0.0001088080
 3698.5      0.0001087570
 3698.6      0.0001087046
 3698.7      0.0001086514
