# Sc spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3685.8      0.0002975955
 3685.9      0.0002967619
 3686.0      0.0002959164
 3686.1      0.0002950619
 3686.2      0.0002942012
 3686.3      0.0002933309
 3686.4      0.0002924559
 3686.5      0.0002915728
 3686.6      0.0002906845
 3686.7      0.0002897938
 3686.8      0.0002888973
 3686.9      0.0002880000
 3687.0      0.0002870982
 3687.1      0.0002861951
 3687.2      0.0002852934
 3687.3      0.0002843896
 3687.4      0.0002834889
 3687.5      0.0002825876
 3687.6      0.0002816886
 3687.7      0.0002807949
 3687.8      0.0002799029
 3687.9      0.0002790177
 3688.0      0.0002781357
 3688.1      0.0002772599
 3688.2      0.0002763932
 3688.3      0.0002755319
 3688.4      0.0002746812
 3688.5      0.0002738377
 3688.6      0.0002730040
 3688.7      0.0002721831
 3688.8      0.0002713717
 3688.9      0.0002705745
 3689.0      0.0002697883
 3689.1      0.0002690159
 3689.2      0.0002682598
 3689.3      0.0002675172
 3689.4      0.0002667923
 3689.5      0.0002660825
 3689.6      0.0002653903
 3689.7      0.0002647180
 3689.8      0.0002640632
 3689.9      0.0002634297
 3690.0      0.0002628153
 3690.1      0.0002621656
 3690.2      0.0002615279
 3690.3      0.0002608994
 3690.4      0.0002602835
 3690.5      0.0002596775
 3690.6      0.0002590835
 3690.7      0.0002585031
 3690.8      0.0002579339
 3690.9      0.0002573791
 3691.0      0.0002568363
 3691.1      0.0002563073
 3691.2      0.0002557936
 3691.3      0.0002552932
 3691.4      0.0002548089
 3691.5      0.0002543387
 3691.6      0.0002538841
 3691.7      0.0002534466
 3691.8      0.0002530244
 3691.9      0.0002526200
 3692.0      0.0002522318
 3692.1      0.0002518611
 3692.2      0.0002515091
 3692.3      0.0002511746
 3692.4      0.0002508595
 3692.5      0.0002505627
 3692.6      0.0002502853
 3692.7      0.0002500283
 3692.8      0.0002497909
 3692.9      0.0002495746
 3693.0      0.0002493786
 3693.1      0.0002492040
 3693.2      0.0002490514
 3693.3      0.0002489205
 3693.4      0.0002488122
 3693.5      0.0002487266
 3693.6      0.0002486641
 3693.7      0.0002486253
 3693.8      0.0002486104
 3693.9      0.0002486197
 3694.0      0.0002486537
 3694.1      0.0002487129
 3694.2      0.0002487973
 3694.3      0.0002489077
 3694.4      0.0002490440
 3694.5      0.0002492072
 3694.6      0.0002493974
 3694.7      0.0002496144
 3694.8      0.0002498597
 3694.9      0.0002501323
 3695.0      0.0002504341
 3695.1      0.0002508321
 3695.2      0.0002512654
 3695.3      0.0002517349
 3695.4      0.0002522370
 3695.5      0.0002527730
 3695.6      0.0002533403
 3695.7      0.0002539363
 3695.8      0.0002545625
 3695.9      0.0002552148
 3696.0      0.0002558949
 3696.1      0.0002566002
 3696.2      0.0002573275
 3696.3      0.0002580791
 3696.4      0.0002588502
 3696.5      0.0002596432
 3696.6      0.0002604550
 3696.7      0.0002612823
 3696.8      0.0002621280
 3696.9      0.0002629865
 3697.0      0.0002638609
 3697.1      0.0002647479
 3697.2      0.0002656439
 3697.3      0.0002665522
 3697.4      0.0002674669
 3697.5      0.0002683914
 3697.6      0.0002693221
 3697.7      0.0002702555
 3697.8      0.0002711950
 3697.9      0.0002721346
 3698.0      0.0002730777
 3698.1      0.0002740208
 3698.2      0.0002749603
 3698.3      0.0002758995
 3698.4      0.0002768327
 3698.5      0.0002777631
 3698.6      0.0002786871
 3698.7      0.0002796014
 3698.8      0.0002805091
 3698.9      0.0002814044
 3699.0      0.0002822907
 3699.1      0.0002831643
 3699.2      0.0002840220
 3699.3      0.0002848667
 3699.4      0.0002856930
 3699.5      0.0002865037
 3699.6      0.0002872956
 3699.7      0.0002880654
 3699.8      0.0002888157
 3699.9      0.0002895416
 3700.0      0.0002902454
 3700.1      0.0002908475
 3700.2      0.0002914367
 3700.3      0.0002920158
 3700.4      0.0002925817
 3700.5      0.0002931372
 3700.6      0.0002936807
 3700.7      0.0002942108
 3700.8      0.0002947300
 3700.9      0.0002952356
 3701.0      0.0002957299
 3701.1      0.0002962117
 3701.2      0.0002966796
 3701.3      0.0002971358
 3701.4      0.0002975780
 3701.5      0.0002980081
 3701.6      0.0002984250
 3701.7      0.0002988276
 3701.8      0.0002992178
 3701.9      0.0002995934
 3702.0      0.0002999562
 3702.1      0.0003003052
 3702.2      0.0003006394
 3702.3      0.0003009603
 3702.4      0.0003012663
 3702.5      0.0003015586
 3702.6      0.0003018365
 3702.7      0.0003020992
 3702.8      0.0003023479
 3702.9      0.0003025811
 3703.0      0.0003027999
 3703.1      0.0003030036
 3703.2      0.0003031917
 3703.3      0.0003033649
 3703.4      0.0003035223
 3703.5      0.0003036645
 3703.6      0.0003037909
 3703.7      0.0003039013
 3703.8      0.0003039960
 3703.9      0.0003040744
 3704.0      0.0003041368
 3704.1      0.0003041829
 3704.2      0.0003042124
 3704.3      0.0003042254
 3704.4      0.0003042218
 3704.5      0.0003042013
 3704.6      0.0003041639
 3704.7      0.0003041095
 3704.8      0.0003040378
 3704.9      0.0003039490
 3705.0      0.0003038426
 3705.1      0.0003036157
 3705.2      0.0003033616
 3705.3      0.0003030804
 3705.4      0.0003027747
 3705.5      0.0003024442
 3705.6      0.0003020910
 3705.7      0.0003017174
 3705.8      0.0003013226
 3705.9      0.0003009100
 3706.0      0.0003004788
