# Atmospheric transmission curve combined from Anglo-Australian Observatory and Mauna Kea  (09/April/10, CEM).
#  Lambda (AA)  Transmission
3719.50     0.721484
3719.60     0.721508
3719.70     0.721531
3719.80     0.721554
3719.90     0.721577
3720.00     0.721600
3720.10     0.721623
3720.20     0.721646
3720.30     0.721669
3720.40     0.721693
3720.50     0.721716
3720.60     0.721739
3720.70     0.721762
3720.80     0.721785
3720.90     0.721808
3721.00     0.721831
3721.10     0.721854
3721.20     0.721877
3721.30     0.721901
3721.40     0.721924
3721.50     0.721947
3721.60     0.721970
3721.70     0.721993
3721.80     0.722016
3721.90     0.722039
3722.00     0.722062
3722.10     0.722086
3722.20     0.722109
3722.30     0.722132
3722.40     0.722155
3722.50     0.722178
3722.60     0.722201
3722.70     0.722224
3722.80     0.722247
3722.90     0.722270
3723.00     0.722294
3723.10     0.722317
3723.20     0.722340
3723.30     0.722363
3723.40     0.722386
3723.50     0.722409
3723.60     0.722432
3723.70     0.722456
3723.80     0.722479
3723.90     0.722502
3724.00     0.722525
3724.10     0.722548
3724.20     0.722571
3724.30     0.722594
3724.40     0.722617
3724.50     0.722641
3724.60     0.722664
3724.70     0.722687
3724.80     0.722710
3724.90     0.722733
3725.00     0.722756
3725.10     0.722779
3725.20     0.722802
3725.30     0.722825
3725.40     0.722849
3725.50     0.722872
3725.60     0.722895
3725.70     0.722918
3725.80     0.722941
3725.90     0.722964
3726.00     0.722987
3726.10     0.723010
3726.20     0.723034
3726.30     0.723057
3726.40     0.723080
3726.50     0.723103
3726.60     0.723126
3726.70     0.723149
3726.80     0.723172
3726.90     0.723195
3727.00     0.723219
3727.10     0.723242
3727.20     0.723265
3727.30     0.723288
3727.40     0.723311
3727.50     0.723334
3727.60     0.723357
3727.70     0.723380
3727.80     0.723404
3727.90     0.723427
3728.00     0.723450
3728.10     0.723473
3728.20     0.723496
3728.30     0.723519
3728.40     0.723542
3728.50     0.723565
3728.60     0.723589
3728.70     0.723612
3728.80     0.723635
3728.90     0.723658
3729.00     0.723681
3729.10     0.723704
3729.20     0.723727
3729.30     0.723750
3729.40     0.723773
3729.50     0.723797
3729.60     0.723820
3729.70     0.723843
3729.80     0.723866
3729.90     0.723889
3730.00     0.723912
3730.10     0.723935
3730.20     0.723958
3730.30     0.723982
3730.40     0.724005
3730.50     0.724028
3730.60     0.724051
3730.70     0.724074
3730.80     0.724097
3730.90     0.724120
3731.00     0.724143
3731.10     0.724167
3731.20     0.724190
3731.30     0.724213
3731.40     0.724236
3731.50     0.724259
3731.60     0.724282
3731.70     0.724305
3731.80     0.724328
3731.90     0.724351
3732.00     0.724375
3732.10     0.724398
3732.20     0.724421
3732.30     0.724444
3732.40     0.724467
3732.50     0.724490
3732.60     0.724513
3732.70     0.724536
3732.80     0.724560
3732.90     0.724583
3733.00     0.724606
3733.10     0.724629
3733.20     0.724652
3733.30     0.724675
3733.40     0.724698
3733.50     0.724721
3733.60     0.724745
3733.70     0.724768
3733.80     0.724791
3733.90     0.724814
3734.00     0.724837
3734.10     0.724860
3734.20     0.724883
3734.30     0.724906
3734.40     0.724930
3734.50     0.724953
3734.60     0.724976
3734.70     0.724999
3734.80     0.725022
3734.90     0.725045
3735.00     0.725068
3735.10     0.725091
3735.20     0.725115
3735.30     0.725138
3735.40     0.725161
3735.50     0.725184
3735.60     0.725207
3735.70     0.725230
3735.80     0.725253
3735.90     0.725276
3736.00     0.725300
3736.10     0.725323
3736.20     0.725346
3736.30     0.725369
3736.40     0.725392
3736.50     0.725415
3736.60     0.725438
3736.70     0.725461
3736.80     0.725484
3736.90     0.725508
3737.00     0.725531
3737.10     0.725554
3737.20     0.725577
3737.30     0.725600
